INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-07T10:00:00-00:00,2025-04-07T11:00:00-00:00,2025-04-07,4,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-7.62245,1
2025-04-07T07:00:00-00:00,2025-04-07T08:00:00-00:00,2025-04-07,1,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,4.7952,1
2025-04-07T20:00:00-00:00,2025-04-07T21:00:00-00:00,2025-04-07,14,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-75.0197,1
2025-04-08T01:00:00-00:00,2025-04-08T02:00:00-00:00,2025-04-07,19,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-65.51523,1
2025-04-07T13:00:00-00:00,2025-04-07T14:00:00-00:00,2025-04-07,7,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-77.01195,1
2025-04-07T08:00:00-00:00,2025-04-07T09:00:00-00:00,2025-04-07,2,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-6.72152,1
2025-04-07T09:00:00-00:00,2025-04-07T10:00:00-00:00,2025-04-07,3,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-4.41947,1
2025-04-07T11:00:00-00:00,2025-04-07T12:00:00-00:00,2025-04-07,5,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-7.82635,1
2025-04-07T16:00:00-00:00,2025-04-07T17:00:00-00:00,2025-04-07,10,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-76.9299,1
2025-04-07T22:00:00-00:00,2025-04-07T23:00:00-00:00,2025-04-07,16,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-77.02189,1
2025-04-08T04:00:00-00:00,2025-04-08T05:00:00-00:00,2025-04-07,22,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-0.47267,1
2025-04-07T14:00:00-00:00,2025-04-07T15:00:00-00:00,2025-04-07,8,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-76.74341,1
2025-04-07T18:00:00-00:00,2025-04-07T19:00:00-00:00,2025-04-07,12,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-74.47686,1
2025-04-07T19:00:00-00:00,2025-04-07T20:00:00-00:00,2025-04-07,13,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-75.00272,1
2025-04-07T23:00:00-00:00,2025-04-08T00:00:00-00:00,2025-04-07,17,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-77.00457,1
2025-04-08T03:00:00-00:00,2025-04-08T04:00:00-00:00,2025-04-07,21,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,LMP,LMP_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,4.63372,1
