OPR_DT,NODE,MW,INTERVALSTARTTIME,INTERVALENDTIME,Hour_Label
2025-04-07,POD_ADLIN_1_UNITS-APND,4.7952,2025-04-07 00:00:00,2025-04-07 01:00:00,00:00-01:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-6.72152,2025-04-07 01:00:00,2025-04-07 02:00:00,01:00-02:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-4.41947,2025-04-07 02:00:00,2025-04-07 03:00:00,02:00-03:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-7.62245,2025-04-07 03:00:00,2025-04-07 04:00:00,03:00-04:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-7.82635,2025-04-07 04:00:00,2025-04-07 05:00:00,04:00-05:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-3.47959,2025-04-07 05:00:00,2025-04-07 06:00:00,05:00-06:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-77.01195,2025-04-07 06:00:00,2025-04-07 07:00:00,06:00-07:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-76.74341,2025-04-07 07:00:00,2025-04-07 08:00:00,07:00-08:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-76.94555,2025-04-07 08:00:00,2025-04-07 09:00:00,08:00-09:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-76.9299,2025-04-07 09:00:00,2025-04-07 10:00:00,09:00-10:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-69.96157,2025-04-07 10:00:00,2025-04-07 11:00:00,10:00-11:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-74.47686,2025-04-07 11:00:00,2025-04-07 12:00:00,11:00-12:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-75.00272,2025-04-07 12:00:00,2025-04-07 13:00:00,12:00-13:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-75.0197,2025-04-07 13:00:00,2025-04-07 14:00:00,13:00-14:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-77.01009,2025-04-07 14:00:00,2025-04-07 15:00:00,14:00-15:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-77.02189,2025-04-07 15:00:00,2025-04-07 16:00:00,15:00-16:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-77.00457,2025-04-07 16:00:00,2025-04-07 17:00:00,16:00-17:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-68.80895,2025-04-07 17:00:00,2025-04-07 18:00:00,17:00-18:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-65.51523,2025-04-07 18:00:00,2025-04-07 19:00:00,18:00-19:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-9.12479,2025-04-07 19:00:00,2025-04-07 20:00:00,19:00-20:00
2025-04-07,POD_ADLIN_1_UNITS-APND,4.63372,2025-04-07 20:00:00,2025-04-07 21:00:00,20:00-21:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-0.47267,2025-04-07 21:00:00,2025-04-07 22:00:00,21:00-22:00
2025-04-07,POD_ADLIN_1_UNITS-APND,-1.15512,2025-04-07 22:00:00,2025-04-07 23:00:00,22:00-23:00
2025-04-07,POD_ADLIN_1_UNITS-APND,3.24119,2025-04-07 23:00:00,2025-04-08 00:00:00,23:00-00:00
2025-04-08,POD_ADLIN_1_UNITS-APND,17.47892,2025-04-08 00:00:00,2025-04-08 01:00:00,00:00-01:00
2025-04-08,POD_ADLIN_1_UNITS-APND,2.94984,2025-04-08 01:00:00,2025-04-08 02:00:00,01:00-02:00
2025-04-08,POD_ADLIN_1_UNITS-APND,20.74344,2025-04-08 02:00:00,2025-04-08 03:00:00,02:00-03:00
2025-04-08,POD_ADLIN_1_UNITS-APND,22.35197,2025-04-08 03:00:00,2025-04-08 04:00:00,03:00-04:00
2025-04-08,POD_ADLIN_1_UNITS-APND,20.23025,2025-04-08 04:00:00,2025-04-08 05:00:00,04:00-05:00
2025-04-08,POD_ADLIN_1_UNITS-APND,19.95497,2025-04-08 05:00:00,2025-04-08 06:00:00,05:00-06:00
2025-04-08,POD_ADLIN_1_UNITS-APND,21.43794,2025-04-08 06:00:00,2025-04-08 07:00:00,06:00-07:00
2025-04-08,POD_ADLIN_1_UNITS-APND,2.11836,2025-04-08 07:00:00,2025-04-08 08:00:00,07:00-08:00
2025-04-08,POD_ADLIN_1_UNITS-APND,1.14924,2025-04-08 08:00:00,2025-04-08 09:00:00,08:00-09:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-4.16966,2025-04-08 09:00:00,2025-04-08 10:00:00,09:00-10:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-5.50529,2025-04-08 10:00:00,2025-04-08 11:00:00,10:00-11:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-36.52249,2025-04-08 11:00:00,2025-04-08 12:00:00,11:00-12:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-42.51946,2025-04-08 12:00:00,2025-04-08 13:00:00,12:00-13:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-8.71925,2025-04-08 13:00:00,2025-04-08 14:00:00,13:00-14:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-9.18383,2025-04-08 14:00:00,2025-04-08 15:00:00,14:00-15:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-9.27535,2025-04-08 15:00:00,2025-04-08 16:00:00,15:00-16:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-15.24329,2025-04-08 16:00:00,2025-04-08 17:00:00,16:00-17:00
2025-04-08,POD_ADLIN_1_UNITS-APND,-18.30716,2025-04-08 17:00:00,2025-04-08 18:00:00,17:00-18:00
2025-04-08,POD_ADLIN_1_UNITS-APND,27.25482,2025-04-08 18:00:00,2025-04-08 19:00:00,18:00-19:00
2025-04-08,POD_ADLIN_1_UNITS-APND,30.2921,2025-04-08 19:00:00,2025-04-08 20:00:00,19:00-20:00
2025-04-08,POD_ADLIN_1_UNITS-APND,24.82298,2025-04-08 20:00:00,2025-04-08 21:00:00,20:00-21:00
2025-04-08,POD_ADLIN_1_UNITS-APND,3.14473,2025-04-08 21:00:00,2025-04-08 22:00:00,21:00-22:00
2025-04-08,POD_ADLIN_1_UNITS-APND,9.00007,2025-04-08 22:00:00,2025-04-08 23:00:00,22:00-23:00
2025-04-08,POD_ADLIN_1_UNITS-APND,12.4534,2025-04-08 23:00:00,2025-04-09 00:00:00,23:00-00:00
2025-04-09,POD_ADLIN_1_UNITS-APND,17.92476,2025-04-09 00:00:00,2025-04-09 01:00:00,00:00-01:00
2025-04-09,POD_ADLIN_1_UNITS-APND,7.08553,2025-04-09 01:00:00,2025-04-09 02:00:00,01:00-02:00
2025-04-09,POD_ADLIN_1_UNITS-APND,20.2051,2025-04-09 02:00:00,2025-04-09 03:00:00,02:00-03:00
2025-04-09,POD_ADLIN_1_UNITS-APND,17.28105,2025-04-09 03:00:00,2025-04-09 04:00:00,03:00-04:00
2025-04-09,POD_ADLIN_1_UNITS-APND,9.88611,2025-04-09 04:00:00,2025-04-09 05:00:00,04:00-05:00
2025-04-09,POD_ADLIN_1_UNITS-APND,19.62713,2025-04-09 05:00:00,2025-04-09 06:00:00,05:00-06:00
2025-04-09,POD_ADLIN_1_UNITS-APND,40.45776,2025-04-09 06:00:00,2025-04-09 07:00:00,06:00-07:00
2025-04-09,POD_ADLIN_1_UNITS-APND,22.8564,2025-04-09 07:00:00,2025-04-09 08:00:00,07:00-08:00
2025-04-09,POD_ADLIN_1_UNITS-APND,8.94493,2025-04-09 08:00:00,2025-04-09 09:00:00,08:00-09:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-0.29561,2025-04-09 09:00:00,2025-04-09 10:00:00,09:00-10:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.06039,2025-04-09 10:00:00,2025-04-09 11:00:00,10:00-11:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.78062,2025-04-09 11:00:00,2025-04-09 12:00:00,11:00-12:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.8222,2025-04-09 12:00:00,2025-04-09 13:00:00,12:00-13:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.88042,2025-04-09 13:00:00,2025-04-09 14:00:00,13:00-14:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.98311,2025-04-09 14:00:00,2025-04-09 15:00:00,14:00-15:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-4.91147,2025-04-09 15:00:00,2025-04-09 16:00:00,15:00-16:00
2025-04-09,POD_ADLIN_1_UNITS-APND,-2.80749,2025-04-09 16:00:00,2025-04-09 17:00:00,16:00-17:00
2025-04-09,POD_ADLIN_1_UNITS-APND,10.34577,2025-04-09 17:00:00,2025-04-09 18:00:00,17:00-18:00
2025-04-09,POD_ADLIN_1_UNITS-APND,34.81504,2025-04-09 18:00:00,2025-04-09 19:00:00,18:00-19:00
2025-04-09,POD_ADLIN_1_UNITS-APND,36.13404,2025-04-09 19:00:00,2025-04-09 20:00:00,19:00-20:00
2025-04-09,POD_ADLIN_1_UNITS-APND,29.76041,2025-04-09 20:00:00,2025-04-09 21:00:00,20:00-21:00
2025-04-09,POD_ADLIN_1_UNITS-APND,29.29614,2025-04-09 21:00:00,2025-04-09 22:00:00,21:00-22:00
2025-04-09,POD_ADLIN_1_UNITS-APND,4.91065,2025-04-09 22:00:00,2025-04-09 23:00:00,22:00-23:00
2025-04-09,POD_ADLIN_1_UNITS-APND,26.1608,2025-04-09 23:00:00,2025-04-10 00:00:00,23:00-00:00
2025-04-10,POD_ADLIN_1_UNITS-APND,30.3513,2025-04-10 00:00:00,2025-04-10 01:00:00,00:00-01:00
2025-04-10,POD_ADLIN_1_UNITS-APND,24.40817,2025-04-10 01:00:00,2025-04-10 02:00:00,01:00-02:00
2025-04-10,POD_ADLIN_1_UNITS-APND,29.81627,2025-04-10 02:00:00,2025-04-10 03:00:00,02:00-03:00
2025-04-10,POD_ADLIN_1_UNITS-APND,25.92014,2025-04-10 03:00:00,2025-04-10 04:00:00,03:00-04:00
2025-04-10,POD_ADLIN_1_UNITS-APND,27.69133,2025-04-10 04:00:00,2025-04-10 05:00:00,04:00-05:00
2025-04-10,POD_ADLIN_1_UNITS-APND,32.27295,2025-04-10 05:00:00,2025-04-10 06:00:00,05:00-06:00
2025-04-10,POD_ADLIN_1_UNITS-APND,48.57275,2025-04-10 06:00:00,2025-04-10 07:00:00,06:00-07:00
2025-04-10,POD_ADLIN_1_UNITS-APND,31.13991,2025-04-10 07:00:00,2025-04-10 08:00:00,07:00-08:00
2025-04-10,POD_ADLIN_1_UNITS-APND,23.26973,2025-04-10 08:00:00,2025-04-10 09:00:00,08:00-09:00
2025-04-10,POD_ADLIN_1_UNITS-APND,16.0247,2025-04-10 09:00:00,2025-04-10 10:00:00,09:00-10:00
2025-04-10,POD_ADLIN_1_UNITS-APND,4.15314,2025-04-10 10:00:00,2025-04-10 11:00:00,10:00-11:00
2025-04-10,POD_ADLIN_1_UNITS-APND,-4.60587,2025-04-10 11:00:00,2025-04-10 12:00:00,11:00-12:00
2025-04-10,POD_ADLIN_1_UNITS-APND,-2.23313,2025-04-10 12:00:00,2025-04-10 13:00:00,12:00-13:00
2025-04-10,POD_ADLIN_1_UNITS-APND,-4.24373,2025-04-10 13:00:00,2025-04-10 14:00:00,13:00-14:00
2025-04-10,POD_ADLIN_1_UNITS-APND,-4.95278,2025-04-10 14:00:00,2025-04-10 15:00:00,14:00-15:00
2025-04-10,POD_ADLIN_1_UNITS-APND,2.78975,2025-04-10 15:00:00,2025-04-10 16:00:00,15:00-16:00
2025-04-10,POD_ADLIN_1_UNITS-APND,7.20764,2025-04-10 16:00:00,2025-04-10 17:00:00,16:00-17:00
2025-04-10,POD_ADLIN_1_UNITS-APND,14.07871,2025-04-10 17:00:00,2025-04-10 18:00:00,17:00-18:00
2025-04-10,POD_ADLIN_1_UNITS-APND,36.14229,2025-04-10 18:00:00,2025-04-10 19:00:00,18:00-19:00
2025-04-10,POD_ADLIN_1_UNITS-APND,42.11495,2025-04-10 19:00:00,2025-04-10 20:00:00,19:00-20:00
2025-04-10,POD_ADLIN_1_UNITS-APND,30.99949,2025-04-10 20:00:00,2025-04-10 21:00:00,20:00-21:00
2025-04-10,POD_ADLIN_1_UNITS-APND,26.14415,2025-04-10 21:00:00,2025-04-10 22:00:00,21:00-22:00
2025-04-10,POD_ADLIN_1_UNITS-APND,20.4718,2025-04-10 22:00:00,2025-04-10 23:00:00,22:00-23:00
2025-04-10,POD_ADLIN_1_UNITS-APND,21.30088,2025-04-10 23:00:00,2025-04-11 00:00:00,23:00-00:00
2025-04-11,POD_ADLIN_1_UNITS-APND,28.46313,2025-04-11 00:00:00,2025-04-11 01:00:00,00:00-01:00
2025-04-11,POD_ADLIN_1_UNITS-APND,22.66038,2025-04-11 01:00:00,2025-04-11 02:00:00,01:00-02:00
2025-04-11,POD_ADLIN_1_UNITS-APND,22.15912,2025-04-11 02:00:00,2025-04-11 03:00:00,02:00-03:00
2025-04-11,POD_ADLIN_1_UNITS-APND,20.32017,2025-04-11 03:00:00,2025-04-11 04:00:00,03:00-04:00
2025-04-11,POD_ADLIN_1_UNITS-APND,24.11696,2025-04-11 04:00:00,2025-04-11 05:00:00,04:00-05:00
2025-04-11,POD_ADLIN_1_UNITS-APND,29.0944,2025-04-11 05:00:00,2025-04-11 06:00:00,05:00-06:00
2025-04-11,POD_ADLIN_1_UNITS-APND,31.17701,2025-04-11 06:00:00,2025-04-11 07:00:00,06:00-07:00
2025-04-11,POD_ADLIN_1_UNITS-APND,16.85669,2025-04-11 07:00:00,2025-04-11 08:00:00,07:00-08:00
2025-04-11,POD_ADLIN_1_UNITS-APND,2.08017,2025-04-11 08:00:00,2025-04-11 09:00:00,08:00-09:00
2025-04-11,POD_ADLIN_1_UNITS-APND,0.03158,2025-04-11 09:00:00,2025-04-11 10:00:00,09:00-10:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-3.4653,2025-04-11 10:00:00,2025-04-11 11:00:00,10:00-11:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-13.43019,2025-04-11 11:00:00,2025-04-11 12:00:00,11:00-12:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-13.93837,2025-04-11 12:00:00,2025-04-11 13:00:00,12:00-13:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-17.06993,2025-04-11 13:00:00,2025-04-11 14:00:00,13:00-14:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-13.83994,2025-04-11 14:00:00,2025-04-11 15:00:00,14:00-15:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-12.05721,2025-04-11 15:00:00,2025-04-11 16:00:00,15:00-16:00
2025-04-11,POD_ADLIN_1_UNITS-APND,-7.7768,2025-04-11 16:00:00,2025-04-11 17:00:00,16:00-17:00
2025-04-11,POD_ADLIN_1_UNITS-APND,6.92533,2025-04-11 17:00:00,2025-04-11 18:00:00,17:00-18:00
2025-04-11,POD_ADLIN_1_UNITS-APND,13.63824,2025-04-11 18:00:00,2025-04-11 19:00:00,18:00-19:00
2025-04-11,POD_ADLIN_1_UNITS-APND,16.70224,2025-04-11 19:00:00,2025-04-11 20:00:00,19:00-20:00
2025-04-11,POD_ADLIN_1_UNITS-APND,15.66463,2025-04-11 20:00:00,2025-04-11 21:00:00,20:00-21:00
2025-04-11,POD_ADLIN_1_UNITS-APND,21.25459,2025-04-11 21:00:00,2025-04-11 22:00:00,21:00-22:00
2025-04-11,POD_ADLIN_1_UNITS-APND,17.25962,2025-04-11 22:00:00,2025-04-11 23:00:00,22:00-23:00
2025-04-11,POD_ADLIN_1_UNITS-APND,10.47455,2025-04-11 23:00:00,2025-04-12 00:00:00,23:00-00:00
2025-04-12,POD_ADLIN_1_UNITS-APND,10.05052,2025-04-12 00:00:00,2025-04-12 01:00:00,00:00-01:00
2025-04-12,POD_ADLIN_1_UNITS-APND,8.27935,2025-04-12 01:00:00,2025-04-12 02:00:00,01:00-02:00
2025-04-12,POD_ADLIN_1_UNITS-APND,8.52041,2025-04-12 02:00:00,2025-04-12 03:00:00,02:00-03:00
2025-04-12,POD_ADLIN_1_UNITS-APND,16.53473,2025-04-12 03:00:00,2025-04-12 04:00:00,03:00-04:00
2025-04-12,POD_ADLIN_1_UNITS-APND,20.3542,2025-04-12 04:00:00,2025-04-12 05:00:00,04:00-05:00
2025-04-12,POD_ADLIN_1_UNITS-APND,22.84064,2025-04-12 05:00:00,2025-04-12 06:00:00,05:00-06:00
2025-04-12,POD_ADLIN_1_UNITS-APND,26.17742,2025-04-12 06:00:00,2025-04-12 07:00:00,06:00-07:00
2025-04-12,POD_ADLIN_1_UNITS-APND,14.28175,2025-04-12 07:00:00,2025-04-12 08:00:00,07:00-08:00
2025-04-12,POD_ADLIN_1_UNITS-APND,6.75198,2025-04-12 08:00:00,2025-04-12 09:00:00,08:00-09:00
2025-04-12,POD_ADLIN_1_UNITS-APND,3.9669,2025-04-12 09:00:00,2025-04-12 10:00:00,09:00-10:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-2.69181,2025-04-12 10:00:00,2025-04-12 11:00:00,10:00-11:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-7.72163,2025-04-12 11:00:00,2025-04-12 12:00:00,11:00-12:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-10.13762,2025-04-12 12:00:00,2025-04-12 13:00:00,12:00-13:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-6.14,2025-04-12 13:00:00,2025-04-12 14:00:00,13:00-14:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-9.96124,2025-04-12 14:00:00,2025-04-12 15:00:00,14:00-15:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-7.07708,2025-04-12 15:00:00,2025-04-12 16:00:00,15:00-16:00
2025-04-12,POD_ADLIN_1_UNITS-APND,-6.26492,2025-04-12 16:00:00,2025-04-12 17:00:00,16:00-17:00
2025-04-12,POD_ADLIN_1_UNITS-APND,8.38008,2025-04-12 17:00:00,2025-04-12 18:00:00,17:00-18:00
2025-04-12,POD_ADLIN_1_UNITS-APND,22.80467,2025-04-12 18:00:00,2025-04-12 19:00:00,18:00-19:00
2025-04-12,POD_ADLIN_1_UNITS-APND,17.42077,2025-04-12 19:00:00,2025-04-12 20:00:00,19:00-20:00
2025-04-12,POD_ADLIN_1_UNITS-APND,20.80319,2025-04-12 20:00:00,2025-04-12 21:00:00,20:00-21:00
2025-04-12,POD_ADLIN_1_UNITS-APND,19.35315,2025-04-12 21:00:00,2025-04-12 22:00:00,21:00-22:00
2025-04-12,POD_ADLIN_1_UNITS-APND,17.65962,2025-04-12 22:00:00,2025-04-12 23:00:00,22:00-23:00
2025-04-12,POD_ADLIN_1_UNITS-APND,21.57755,2025-04-12 23:00:00,2025-04-13 00:00:00,23:00-00:00
2025-04-13,POD_ADLIN_1_UNITS-APND,21.51868,2025-04-13 00:00:00,2025-04-13 01:00:00,00:00-01:00
2025-04-13,POD_ADLIN_1_UNITS-APND,16.25331,2025-04-13 01:00:00,2025-04-13 02:00:00,01:00-02:00
2025-04-13,POD_ADLIN_1_UNITS-APND,16.3917,2025-04-13 02:00:00,2025-04-13 03:00:00,02:00-03:00
2025-04-13,POD_ADLIN_1_UNITS-APND,20.07828,2025-04-13 03:00:00,2025-04-13 04:00:00,03:00-04:00
2025-04-13,POD_ADLIN_1_UNITS-APND,17.97642,2025-04-13 04:00:00,2025-04-13 05:00:00,04:00-05:00
2025-04-13,POD_ADLIN_1_UNITS-APND,18.40523,2025-04-13 05:00:00,2025-04-13 06:00:00,05:00-06:00
2025-04-13,POD_ADLIN_1_UNITS-APND,34.90914,2025-04-13 06:00:00,2025-04-13 07:00:00,06:00-07:00
2025-04-13,POD_ADLIN_1_UNITS-APND,14.09784,2025-04-13 07:00:00,2025-04-13 08:00:00,07:00-08:00
2025-04-13,POD_ADLIN_1_UNITS-APND,6.44539,2025-04-13 08:00:00,2025-04-13 09:00:00,08:00-09:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-1.34629,2025-04-13 09:00:00,2025-04-13 10:00:00,09:00-10:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-9.9356,2025-04-13 10:00:00,2025-04-13 11:00:00,10:00-11:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-9.93024,2025-04-13 11:00:00,2025-04-13 12:00:00,11:00-12:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-10.10532,2025-04-13 12:00:00,2025-04-13 13:00:00,12:00-13:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-10.49189,2025-04-13 13:00:00,2025-04-13 14:00:00,13:00-14:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-9.83246,2025-04-13 14:00:00,2025-04-13 15:00:00,14:00-15:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-9.98051,2025-04-13 15:00:00,2025-04-13 16:00:00,15:00-16:00
2025-04-13,POD_ADLIN_1_UNITS-APND,-3.08484,2025-04-13 16:00:00,2025-04-13 17:00:00,16:00-17:00
2025-04-13,POD_ADLIN_1_UNITS-APND,12.35268,2025-04-13 17:00:00,2025-04-13 18:00:00,17:00-18:00
2025-04-13,POD_ADLIN_1_UNITS-APND,41.84359,2025-04-13 18:00:00,2025-04-13 19:00:00,18:00-19:00
2025-04-13,POD_ADLIN_1_UNITS-APND,31.0,2025-04-13 19:00:00,2025-04-13 20:00:00,19:00-20:00
2025-04-13,POD_ADLIN_1_UNITS-APND,35.12142,2025-04-13 20:00:00,2025-04-13 21:00:00,20:00-21:00
2025-04-13,POD_ADLIN_1_UNITS-APND,32.75433,2025-04-13 21:00:00,2025-04-13 22:00:00,21:00-22:00
2025-04-13,POD_ADLIN_1_UNITS-APND,35.50484,2025-04-13 22:00:00,2025-04-13 23:00:00,22:00-23:00
2025-04-13,POD_ADLIN_1_UNITS-APND,32.72287,2025-04-13 23:00:00,2025-04-14 00:00:00,23:00-00:00
2025-04-14,POD_ADLIN_1_UNITS-APND,38.46077,2025-04-14 00:00:00,2025-04-14 01:00:00,00:00-01:00
2025-04-14,POD_ADLIN_1_UNITS-APND,36.67833,2025-04-14 01:00:00,2025-04-14 02:00:00,01:00-02:00
2025-04-14,POD_ADLIN_1_UNITS-APND,36.89064,2025-04-14 02:00:00,2025-04-14 03:00:00,02:00-03:00
2025-04-14,POD_ADLIN_1_UNITS-APND,36.46475,2025-04-14 03:00:00,2025-04-14 04:00:00,03:00-04:00
2025-04-14,POD_ADLIN_1_UNITS-APND,36.91796,2025-04-14 04:00:00,2025-04-14 05:00:00,04:00-05:00
