NODE,Total Profit ($)
POD_ADLIN_1_UNITS-APND,4.982919295
SLAP_PGNC-APND,4.934240369999999
PGNC_1_PDRP19-APND,4.916441935
PGNC_1_PDRP17-APND,4.916441935
PGNC_1_PDRP01-APND,4.916441935
PGNC_1_PDRP02-APND,4.916441935
PGNC_1_PDRP04-APND,4.916441935
PGNC_1_PDRP05-APND,4.916441935
PGNC_1_PDRP06-APND,4.916441935
PGNC_1_PDRP09-APND,4.916441935
PGNC_1_PDRP14-APND,4.916441935
PGNC_1_PDRP15-APND,4.916441935
PGNC_1_PDRP16-APND,4.916441935
PGNC_1_PDRP07-APND,4.916441935
PGNC_1_PDRP18-APND,4.916441935
PGNC_1_PDRP26-APND,4.916441935
PGNC_2_PDRP12-APND,4.916441935
PGNC_1_PDRP20-APND,4.916441935
PGNC_2_PDRP10-APND,4.916441935
PGNC_1_RDRR02-APND,4.916441935
PGNC_2_PDRP11-APND,4.916441935
PGNC_1_PDRP23-APND,4.916441935
PGNC_1_PDRP22-APND,4.916441935
PGNC_1_PDRP21-APND,4.916441935
GYS5X6_7_UNITS-APND,4.49585968
POD_GYS5X6_7_UNITS-APND,4.494534075000001
GYS7X8_7_UNITS-APND,4.45292742
POD_GEYS11_7_UNIT11-APND,4.45059177
POD_GYS7X8_7_UNITS-APND,4.45059177
TULLCK_7_UNITS-APND,2.2040303150000002
POD_SNDBAR_7_UNIT 1-APND,2.10940751
POD_CHICPK_7_UNIT 1-APND,1.2688996499999998
POD_DUTCH1_7_UNIT 1-APND,1.2659251749999996
POD_DRUM_7_UNIT 5-APND,1.259164555
POD_DEERCR_6_UNIT 1-APND,1.2283455900000002
DRUM_7_PL1X2-APND,1.2235687199999998
POD_DRUM_7_PL1X2-APND,1.2235687199999998
POD_DRUM_7_PL3X4-APND,1.2209188900000005
DRUM_7_PL3X4-APND,1.2209188900000005
SPAULD_6_UNIT12-APND,1.1886970399999992
POD_BRDGVL_7_BAKER-APND,1.1444681549999998
SLAP_PGHB-APND,1.08714491
POD_PACLUM_6_UNIT-APND,1.082205545
POD_DUTCH2_7_UNIT 1-APND,1.01972708
SUMMIT_ASR-APND,0.9683387550000003
HUMBPP_6_UNITS-APND,0.9496729900000003
PGHB_6_PDRP06-APND,0.92788187
PGHB_6_PDRP19-APND,0.92788187
PGHB_6_PDRP04-APND,0.92788187
PGHB_6_PDRP05-APND,0.92788187
PGHB_6_PDRP16-APND,0.92788187
PGHB_6_PDRP12-APND,0.92788187
PGHB_6_PDRP15-APND,0.92788187
PGHB_6_PDRP14-APND,0.92788187
PGHB_6_PDRP11-APND,0.92788187
PGHB_6_PDRP10-APND,0.92788187
PGHB_6_PDRP09-APND,0.92788187
PGHB_6_PDRP08-APND,0.92788187
PGHB_6_PDRP07-APND,0.92788187
PGHB_6_PDRP02-APND,0.92788187
POD_HUMBPP_1_UNITS3-APND,0.9123608950000001
DUANE_1_PL1X3-APND,0.6682369400000006
POD_DUANE_1_PL1X3-APND,0.6222086499999997
CLAP_SANCLA-APND,0.042767579999999805
POD_HATRDG_2_WIND-APND,0.00311880000000031
TEPC_BLACKMESA230-APND,0.0
SRP_PPKSRP230_WALC-APND,0.0
TEPC_GREENLEE_EPE-APND,0.0
SRP_PPKWALC230_WALC-APND,0.0
SRP_RUDD230-APND,0.0
PNM_MCKINLEY345_TEPC-APND,0.0
PNM_OROGRANDE115_EPE-APND,0.0
PNM_PICACHO115_EPE-APND,0.0
TEPC_GILARVR500_TEPC-APND,0.0
TEPC_FOURCORNE500_TEPC-APND,0.0
TEPC_FOURCORNE345_TEPC-APND,0.0
TEPC_CORONAD500_TEPC-APND,0.0
SCL_SCLBPATPACW-APND,0.0
SRP_SUGARLOAF500-APND,0.0
SRP_SPRNGER345_TEPC-APND,0.0
PNM_SJ345_TEPC-APND,0.0
SRP_SRPNETWORK_WALC-APND,0.0
SRP_SRP_SYSTEM-APND,0.0
PNM_SPRINGER345_TEPC-APND,0.0
PNM_WM345_EPE-APND,0.0
SRP_WWNG500SRP_WALC-APND,0.0
SRP_WWNG230SRP_WALC-APND,0.0
SRP_WESTWING500_SRP-APND,0.0
SCL_SCLBPATPGE-APND,0.0
SRP_WESTWING230_SRP-APND,0.0
NWMT_TENDOY-APND,0.0
PGE_CAPTAINJACK-APND,0.0
PNM_LUNA345_TEPC-APND,0.0
SRP_PNLCENT500_TEPC-APND,0.0
NEVP_HILLTOP345-APND,0.0
NEVP_M345-APND,0.0
TEPC_PINLWST500_TEPC-APND,0.0
NEVP_MCCULLOUG230-APND,0.0
NWMT_BRDY-APND,0.0
NEVP_MEAD230_NEVP-APND,0.0
NEVP_MEAD500-APND,0.0
NEVP_MEAD5MSCHD-APND,0.0
NEVP_REDB-APND,0.0
TEPC_PNLCENT500_TEPC-APND,0.0
TEPC_SAGUARO500-APND,0.0
TEPC_SJ345_TEPC-APND,0.0
TEPC_SPRINGER345_TEPC-APND,0.0
TEPC_SPRINGER_EPE-APND,0.0
NWMT_PGE.COLSTRIP-APND,0.0
NWMT_PACW.COLSTRIP-APND,0.0
NWMT_JEFF-APND,0.0
SCL_MIDCREMOTE-APND,0.0
NWMT_AVA.COLSTRIP-APND,0.0
NWMT_AVAT.NWMT-APND,0.0
TEPC_SPRNGER345_TEPC-APND,0.0
TEPC_VAIL345-APND,0.0
TEPC_WALC.SYS_TEP-APND,0.0
NEVP_GON.PAV-APND,0.0
NEVP_GON.IPP-APND,0.0
